No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
21	C=CC(=O)O	72.070	8.008	2	1	2	0	0	22.2	0.000	0.000	0.000	0.843	2.250	3.933	0.682	1.106	3.916	0.222	2.336	-0.736	-0.342	2.308	0.731	0.000	1.002	0.944	0.000	0.000	0.000	1.225	1.165	1.974	0.000	15.767	0.000	0.000	0.000	9.476	0.000	0.910	0.910	0.718	0.000	0.000	0.000	0.000	0.000	0.000	-1.437	0.000	0.000	0	0	3	0	0	0	3	0	0	0	2.961	0.000	0	1	1	0	2	2	0	0	0	0	2	0	0	0	0.001
22	C(CCC(=O)O)CC(=O)O	146.160	7.308	2	5	2	0	0	20.0	0.000	0.000	0.000	1.021	2.897	3.533	-0.047	0.624	1.625	1.400	1.400	na	na	7.589	1.812	-0.234	1.032	0.913	1.322	0.015	3.239	1.406	1.014	1.001	0.000	10.138	0.000	0.000	10.138	0.000	0.000	11.958	1.820	1.040	-0.705	-2.000	0.000	0.000	2.341	0.000	0.000	-1.703	0.000	0	0	0	0	0	4	0	4	0	0	0.000	0.000	0	2	2	0	4	4	0	0	0	0	4	0	0	0	0.189
23	C=CCCl	76.530	8.503	1	0	1	0	0	0.0	0.000	0.000	0.000	1.618	0.957	2.653	-1.020	1.089	3.132	0.797	0.000	-0.404	-0.422	5.412	0.857	0.000	0.890	0.709	0.000	0.000	0.000	0.925	0.771	1.281	0.000	18.616	0.000	0.000	2.850	48.625	0.000	2.850	0.000	0.687	0.000	0.000	0.000	0.000	0.000	-1.030	0.000	0.000	0.000	1	0	0	0	0	0	5	0	0	0	3.347	0.000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2.795
24	c1ccc2c(c1)cccc2O	144.180	7.588	11	0	0	0	0	5.3	0.000	0.000	34.168	0.886	3.371	2.273	na	0.450	1.476	0.711	0.000	-2.481	-1.125	5.438	1.749	0.322	1.003	1.192	1.502	0.000	0.000	0.758	0.880	1.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.146	0.000	0.000	0.876	-0.480	-5.356	0.000	0.000	0.000	0.000	-1.250	-1.637	0	0	0	0	1	0	7	0	0	0	0.000	0.000	0	0	2	0	2	3	0	0	0	0	3	0	0	0	6.954
25	Cc1ccccn1	93.140	6.653	6	0	0	1	0	0.0	0.000	0.000	0.000	0.973	0.979	2.095	-0.148	0.643	2.022	0.340	0.340	-0.606	-0.592	4.860	1.258	0.992	1.068	1.264	0.178	0.000	0.000	1.110	1.616	0.994	8.825	0.000	0.000	0.000	20.629	16.786	0.000	2.757	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	0	3	3	0	0	0.000	0.000	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0.716
26	c1ccc(cc1)N	93.140	6.653	6	0	0	1	0	0.0	0.000	0.000	0.000	0.943	1.358	2.238	-0.147	0.643	2.022	0.911	0.714	-0.915	-0.589	4.476	1.190	0.992	1.201	0.994	0.874	0.000	0.000	0.815	1.117	1.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.757	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	1	0	5	0	0	0	0.000	0.000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2.268
27	c1ccc(c(c1)C(=O)O)N	137.150	8.068	7	1	1	1	0	11.8	0.000	0.000	0.000	0.838	3.342	3.000	0.026	0.570	1.869	0.235	0.118	-0.884	-0.798	4.524	1.421	0.486	1.146	1.231	2.077	0.000	0.000	0.782	0.780	0.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.852	0.910	0.287	-0.243	-2.000	0.000	0.000	0.000	0.000	0.000	-1.619	-2.000	0	0	1	0	1	0	4	0	0	0	0.000	0.000	1	1	3	0	2	2	0	0	0	0	4	0	0	0	2.700
28	c1ccc(cc1)C(Cl)Cl	161.030	10.735	6	0	0	0	0	0.0	0.000	0.000	0.000	1.170	1.457	2.358	-0.047	0.558	1.764	0.850	0.667	-0.673	-2.518	9.040	1.045	-1.072	0.953	1.076	2.078	0.000	0.000	0.657	0.519	1.241	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.186	0.000	0.447	-0.732	-2.000	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	1	0	0	0	0	0	5	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	4	0	2	12.439
29	c1ccc(cc1)C=O	106.130	7.581	7	1	1	0	0	7.1	0.000	0.000	0.000	0.913	3.006	2.583	0.084	0.573	1.782	0.768	0.571	-0.731	-0.918	3.950	1.297	-0.182	1.149	1.009	2.330	0.000	0.000	0.927	0.529	1.368	0.000	0.000	0.000	0.000	0.000	11.424	0.000	3.186	0.000	0.000	-0.757	-2.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	1	0	0	0	5	0	0	0	0.000	0.000	0	0	0	0	1	2	0	0	0	0	2	0	0	0	3.129
30	c1ccc(cc1)CO	108.150	6.759	6	1	0	0	0	6.3	0.000	0.000	0.000	0.968	2.538	2.396	0.084	0.573	1.782	0.797	0.625	-0.526	-0.833	5.552	1.615	0.240	1.152	1.080	1.484	0.000	0.000	0.949	0.507	1.174	0.000	0.000	0.000	42.683	0.000	0.000	0.000	3.186	0.000	0.191	-0.757	-2.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	0	7	0	0	0	0.000	0.000	0	0	1	0	1	2	0	0	0	0	2	0	0	0	2.532
