No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
90	CC(C)O	60.110	5.009	0	0	0	0	0	8.3	0.000	0.000	0.000	1.413	2.056	2.833	-1.000	1.592	0.000	1.758	0.000	na	-0.120	4.124	0.991	0.000	1.174	0.000	0.000	0.000	0.000	1.768	1.829	0.000	17.650	0.000	0.000	42.683	17.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	1	0	6	0	0.000	0.000	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0.120
91	CC(C)OC(=O)C	102.150	6.009	1	2	1	0	0	11.8	0.000	0.000	0.000	1.149	3.032	2.786	0.252	0.875	2.672	1.310	2.031	-0.789	-0.213	7.047	1.519	0.675	0.926	1.025	1.433	0.000	0.000	1.805	1.533	0.819	26.476	0.000	0.000	0.000	26.476	0.000	0.000	7.191	0.000	0.910	-1.000	-4.772	0.000	0.000	0.286	0.000	0.000	0.000	0.000	3	0	0	0	0	0	1	3	6	0	0.000	0.000	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0.991
92	CC(C)N	59.130	4.548	0	0	0	1	0	0.0	0.000	0.000	0.000	1.488	1.111	2.333	-0.997	1.592	0.000	1.785	0.000	na	-0.122	4.035	1.001	0.000	1.316	0.000	0.000	0.000	0.000	1.692	1.793	0.000	17.650	32.897	0.000	0.000	50.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	1	0	6	0	0.000	0.000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.120
93	CC(C(=O)O)O	90.090	7.508	1	1	1	0	0	25.0	0.000	0.000	0.000	0.931	2.449	4.000	-0.414	1.088	3.971	0.396	2.487	-0.618	-0.684	4.381	0.875	0.000	1.081	0.791	0.000	0.000	0.000	1.511	0.985	1.752	8.825	0.000	0.000	42.683	8.825	0.000	0.000	0.910	0.910	1.080	-1.562	0.000	0.000	0.000	0.288	0.000	-1.052	0.000	0.000	1	0	0	0	0	0	1	0	3	0	0.000	0.000	0	1	1	0	1	2	0	0	0	0	2	0	0	0	0.494
94	C1=CC(=O)OC1=O	98.060	10.896	3	0	3	0	0	33.3	0.000	15.767	0.000	0.740	2.924	3.548	-0.147	0.706	2.393	0.889	0.889	na	na	0.850	0.787	0.000	1.114	0.748	0.000	0.000	0.000	1.174	1.527	2.096	0.000	0.000	0.000	0.000	0.000	18.952	0.000	14.383	0.000	0.857	-1.000	-4.473	0.000	0.000	1.070	0.000	0.000	0.000	0.000	0	0	4	0	0	0	2	0	0	0	0.000	0.000	0	0	0	0	4	2	0	0	0	0	4	0	0	0	0.252
95	c1(nc(nc(n1)N)N)N	126.150	8.410	6	0	0	6	0	0.0	0.000	0.000	0.000	0.736	1.137	2.889	-0.048	0.595	1.903	1.985	1.985	na	-0.450	4.473	0.112	1.478	0.882	1.935	2.236	0.000	0.000	0.981	1.361	0.154	0.000	0.000	0.000	0.000	5.697	50.357	0.000	5.697	0.000	0.000	-0.347	-1.583	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0.000
96	NN	32.060	5.343	0	0	0	2	0	0.0	0.000	0.000	0.000	1.000	0.000	4.000	-1.498	0.000	0.000	2.195	0.000	na	na	1.302	0.080	0.000	0.000	0.000	0.000	0.000	0.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.523
97	CC(=C)C(=O)O	86.100	7.175	2	1	2	0	0	16.7	0.000	0.000	0.000	0.919	2.600	3.556	-0.418	1.088	3.971	0.563	2.355	-0.803	-0.777	3.912	1.067	0.000	1.663	0.710	0.000	0.000	0.000	1.297	0.862	2.003	8.825	15.767	0.000	0.000	8.825	0.000	0.000	4.095	0.910	0.575	-1.562	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	3	0	0	3	2	0	0	0	3.155	0.000	0	1	1	0	2	4	0	0	0	0	4	0	0	0	0.229
98	CS(=O)(=O)O	96.120	10.680	2	0	2	0	0	33.3	0.000	0.000	0.000	2.079	2.187	4.583	0.649	1.553	0.000	1.103	0.000	-0.379	-0.096	8.417	1.203	0.000	0.930	0.000	0.000	0.000	0.000	1.934	1.946	0.000	7.190	0.000	0.000	39.096	0.000	1.339	1.339	0.000	1.339	1.462	0.000	0.000	0.000	0.000	0.000	0.000	-2.925	0.000	0.000	0	0	0	1	0	0	3	0	0	0	0.000	0.000	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2.449
99	CO	32.050	5.342	0	0	0	0	0	16.7	0.000	0.000	0.000	1.342	1.000	4.000	-1.498	0.000	0.000	1.654	0.000	-0.226	-0.235	1.551	0.200	0.000	0.000	0.000	0.000	0.000	0.000	2.353	0.000	0.000	4.602	0.000	0.000	42.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	1	0	0	3	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663
100	COC(=O)C=C	86.100	7.175	2	2	2	0	0	16.7	0.000	0.000	0.000	0.908	2.840	3.194	-0.428	0.955	3.135	0.563	1.758	-0.786	-0.631	4.468	1.021	0.956	1.060	1.227	0.051	0.000	0.000	1.645	1.059	2.643	10.883	15.767	0.000	0.000	0.000	9.476	0.000	7.191	0.000	0.670	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	3	1	0	0	6	0	0	0	3.157	0.000	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0.229
101	CCC(=O)C	72.120	5.548	1	1	1	0	0	7.7	0.000	0.000	0.000	1.324	2.812	2.833	0.668	1.106	3.916	0.885	2.724	-0.444	-0.254	4.548	1.253	0.000	1.046	1.041	0.000	0.000	0.000	1.620	1.853	1.415	17.650	2.535	0.000	0.000	20.185	0.000	0.000	7.668	0.000	1.089	0.000	0.000	0.000	0.000	0.000	-0.680	-1.498	0.000	0.000	2	0	0	0	0	3	0	5	0	0	0.000	0.000	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0.429
102	COC=O	60.060	7.507	1	1	1	0	0	25.0	0.000	0.000	0.000	0.880	1.951	3.625	-1.065	1.089	3.132	0.969	0.000	-0.376	-0.690	3.431	0.442	0.000	2.003	0.453	0.000	0.000	0.000	2.256	0.666	2.068	10.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.116	0.000	0.000	0.000	0.000	0.000	-1.674	0.000	0.000	0.000	0	0	0	1	0	0	3	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.149
103	CI	141.940	28.388	0	0	0	0	0	0.0	0.000	0.000	0.000	7.606	0.030	2.060	-1.390	0.000	0.000	0.000	0.000	-0.319	-0.327	71.685	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.501	0.000	0.000	7.299	0.000	56.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	1	0	0	3	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.860
104	CC(C)(C)OC	88.170	4.898	0	1	0	0	0	5.6	0.000	0.000	0.000	1.267	1.437	2.125	-0.417	1.203	5.184	2.113	3.239	-0.834	-0.165	6.926	1.617	0.000	1.732	0.938	0.000	0.000	0.000	1.904	2.464	0.437	37.359	0.000	0.000	11.000	26.476	0.000	0.000	0.000	0.000	0.344	-1.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	0	0	1	0	0	3	0	9	1	0.000	0.000	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1.463
105	COCCC(=O)OC	118.150	6.564	1	4	1	0	0	16.7	0.000	0.000	0.000	1.014	3.268	2.833	-0.149	0.734	2.049	0.751	0.982	-0.746	-0.618	8.178	1.421	-0.399	1.191	1.127	0.372	0.083	0.000	2.013	1.367	1.679	21.766	7.127	0.000	11.000	7.127	0.000	0.000	14.318	0.000	1.025	-1.000	-2.906	0.000	0.000	0.860	0.286	0.000	0.000	0.000	0	0	0	2	0	0	8	2	0	1	0.000	0.000	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0.026
106	CN	31.070	4.439	0	0	0	1	0	0.0	0.000	0.000	0.000	1.732	0.500	3.000	-1.445	0.000	0.000	1.767	0.000	-0.198	-0.206	1.368	0.273	0.000	0.000	0.000	0.000	0.000	0.000	2.095	0.000	0.000	8.396	32.897	0.000	0.000	32.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	1	0	0	3	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663
107	CCl	50.490	10.098	0	0	0	0	0	0.0	0.000	0.000	0.000	3.402	0.528	3.056	-1.448	0.000	0.000	0.000	0.000	-0.254	-0.263	6.510	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.884	0.000	0.000	9.140	0.000	0.000	0.000	0.000	39.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	1	0	0	3	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713
108	CC1CCCCC1	98.210	4.677	0	0	0	0	0	0.0	0.000	0.000	0.000	1.455	0.360	1.548	-0.144	0.643	2.022	1.536	1.274	-1.359	-0.495	8.575	2.386	0.500	1.143	0.833	0.397	0.000	0.000	1.429	1.101	0.916	8.825	12.673	0.000	0.000	21.498	0.000	0.000	12.673	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	5	0	0	0	14	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.092
109	CN1CCCC1=O	99.150	6.197	1	0	1	1	0	6.3	0.000	15.767	0.000	1.091	3.500	2.452	-0.145	0.741	2.704	0.672	0.672	-0.749	-0.793	7.341	1.368	0.000	1.213	1.045	0.000	0.000	0.000	1.559	1.105	2.185	8.396	10.299	0.000	0.000	10.299	0.000	0.000	11.879	0.000	0.713	-1.191	-4.183	0.000	0.000	0.555	0.000	0.000	0.000	0.000	0	2	0	1	0	0	5	2	2	0	0.000	0.000	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0.039
110	CN(C)C=O	73.110	6.093	1	0	1	1	0	8.3	0.000	0.000	0.000	1.041	2.431	3.000	0.683	1.106	3.916	1.758	0.000	-0.613	-0.309	4.648	0.686	0.000	2.140	0.257	0.000	0.000	0.000	2.073	0.695	1.786	16.793	3.124	0.000	0.000	3.124	0.000	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.293	-0.400	-1.093	0.000	0.000	0	0	0	2	0	0	6	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.074
111	c1ccc2c(c1)cccc2S(=O)(=O)O	208.250	9.466	13	1	2	0	0	13.6	0.000	0.000	49.202	1.096	4.002	2.851	na	0.414	1.343	0.705	0.091	-1.277	-0.971	6.072	2.565	-0.184	0.975	1.154	1.486	1.549	0.000	1.214	0.686	0.985	0.000	0.000	0.000	39.096	0.000	1.339	1.339	6.697	1.339	0.390	1.260	1.775	-3.000	-6.106	0.000	0.000	0.000	-0.618	-0.742	0	0	0	0	1	0	7	0	0	0	0.000	0.000	0	2	0	1	0	6	0	0	0	0	6	0	0	0	3.905
112	c1ccc(cc1)[N](=O)[O]	123.120	8.794	7	1	1	1	0	14.3	0.000	0.000	0.000	0.833	3.006	3.074	-0.047	0.558	1.764	0.768	0.571	-1.992	-1.253	3.079	1.153	-1.583	1.109	0.960	2.607	0.000	0.000	0.842	0.539	1.520	6.545	0.000	0.000	0.000	0.000	6.545	0.000	2.757	0.000	0.304	-0.732	-2.000	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	0	0	0	0	1	0	5	0	0	0	0.000	0.000	0	0	0	0	2	6	0	0	0	0	4	0	0	0	1.750
113	c1ccc(c(c1)N)O	109.140	7.276	6	0	0	1	0	6.7	0.000	0.000	0.000	0.877	2.794	2.667	0.083	0.633	2.091	0.267	0.133	-0.971	-1.869	4.481	1.256	1.110	1.210	1.163	0.661	0.000	0.000	0.764	0.847	1.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.757	0.000	0.000	-0.732	-3.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	2	0	1	2	0	0	0	0	2	0	0	0	1.972
114	c1ccc(c(c1)C=O)Cl	140.570	10.041	7	1	1	0	0	7.1	0.000	0.000	0.000	0.973	3.143	2.716	-0.047	0.582	1.894	0.143	0.000	-0.804	-1.039	2.473	1.062	0.174	1.029	1.299	1.981	0.000	0.000	0.730	0.640	1.268	0.000	0.000	39.149	0.000	0.000	50.573	0.000	6.686	0.000	0.000	-0.316	-1.880	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	0	0	1	0	1	0	4	0	0	0	0.000	0.000	0	0	0	0	1	1	0	0	0	0	2	3	0	0	5.618
115	Cc1ccccc1Cl	126.590	8.439	6	0	0	0	0	0.0	0.000	0.000	0.000	1.085	1.598	2.181	0.084	0.633	2.091	0.450	0.317	-0.737	-1.607	5.215	1.324	0.687	1.095	1.384	0.743	0.000	0.000	0.788	0.926	1.932	8.825	0.000	39.149	0.000	8.825	39.149	0.000	6.686	0.000	0.000	-0.732	-3.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	1	3	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10.302
116	Cc1ccccc1O	108.150	6.759	6	0	0	0	0	6.3	0.000	0.000	0.000	0.957	2.919	2.417	0.084	0.633	2.091	0.422	0.297	-0.753	-1.503	5.401	1.615	0.974	1.228	1.215	0.519	0.000	0.000	0.949	0.970	1.815	8.825	0.000	0.000	0.000	8.825	0.000	0.000	3.186	0.000	0.000	-0.732	-3.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	1	3	4	0	0	0	0.000	0.000	0	0	2	0	2	3	0	0	0	0	3	0	0	0	3.456
117	c1ccc(c(c1)[N](=O)[O])O	139.120	9.275	7	1	1	1	0	20.0	0.000	0.000	0.000	0.792	3.067	3.333	0.026	0.570	1.869	0.133	0.000	-1.773	-0.783	2.725	1.228	-0.394	1.126	1.030	2.068	0.000	0.000	0.784	0.733	1.086	6.545	0.000	0.000	0.000	0.000	6.545	0.000	2.757	0.000	0.274	-0.243	-2.000	0.000	0.000	0.000	0.000	0.000	-1.494	-2.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	1	0	2	6	0	0	0	0	6	0	0	0	0.613
118	NN	32.060	5.343	0	0	0	2	0	0.0	0.000	0.000	0.000	1.000	0.000	4.000	-1.498	0.000	0.000	2.195	0.000	na	na	1.302	0.080	0.000	0.000	0.000	0.000	0.000	0.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.523
119	c1cc(ccc1O)Cl	128.560	9.889	6	0	0	0	0	7.7	0.000	0.000	0.000	0.979	2.698	2.681	0.084	0.597	1.848	0.615	0.615	-1.545	-1.955	2.293	1.092	-2.654	1.170	1.167	0.038	0.000	0.000	0.633	1.200	1.463	0.000	0.000	39.149	0.000	0.000	39.149	0.000	3.501	0.000	0.000	-1.000	-3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	2	0	2	2	0	0	0	0	2	2	0	0	4.525
120	c1cc(ccc1[N](=O)[O])O	139.120	9.275	7	1	1	1	0	20.0	0.000	0.000	0.000	0.790	3.036	3.333	0.026	0.525	1.597	0.533	0.533	-1.441	-0.827	2.725	1.228	0.471	1.204	1.062	1.553	3.296	0.000	0.784	0.747	1.405	6.545	0.000	0.000	0.000	0.000	6.545	0.000	2.757	0.000	0.274	-0.235	-2.000	0.000	0.000	0.000	0.000	0.000	-1.544	-2.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	2	0	4	8	0	0	0	0	6	0	0	0	0.613
121	Cc1ccc(cc1)[N](=O)[O]	137.150	8.068	7	1	1	1	0	11.8	0.000	0.000	0.000	0.873	3.118	2.933	0.026	0.525	1.597	0.750	0.750	-1.142	-0.798	5.215	1.505	-0.348	1.290	1.066	1.479	4.684	0.000	0.942	0.525	1.135	15.370	0.000	0.000	0.000	8.825	6.545	0.000	5.942	0.000	0.274	-0.235	-2.000	0.000	0.000	0.000	0.000	0.000	-1.550	-2.000	1	0	0	0	1	3	4	0	0	0	0.000	0.000	0	0	0	0	2	6	0	0	0	0	4	0	0	0	2.810
122	c1cc(ccc1N)N	108.160	6.760	6	0	0	2	0	0.0	0.000	0.000	0.000	0.900	1.371	2.417	0.084	0.597	1.848	1.750	1.750	na	na	5.172	1.170	-1.247	1.335	1.063	0.088	0.000	0.000	0.732	1.145	1.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.513	0.000	0.000	-1.000	-3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0.798
123	C(C(CO)(CO)CO)O	136.170	6.484	0	4	0	0	0	19.0	0.000	0.000	0.000	1.005	2.497	3.472	0.081	0.998	3.634	2.286	2.951	na	-0.719	8.965	1.647	0.720	1.609	0.825	1.097	0.000	0.000	1.538	0.670	1.179	0.000	0.000	0.000	170.733	0.000	0.000	0.000	0.000	0.000	0.000	-0.303	-4.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4	0	0	0	0	0	8	0	0	0	0.000	0.000	6	0	4	0	4	0	0	0	0	0	12	0	0	0	1.729
124	CCCCC	72.170	4.245	0	2	0	0	0	0.0	0.000	0.000	0.000	1.811	0.212	1.700	0.662	0.853	2.340	1.736	2.703	na	-0.382	5.042	1.720	0.417	0.881	0.840	0.756	0.000	0.000	1.700	0.767	0.803	17.650	7.604	0.000	0.000	25.254	0.000	0.000	7.604	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	12	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.850
125	C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F	288.050	16.944	0	2	0	0	12	0.0	0.000	0.000	0.000	0.613	4.031	6.015	na	1.069	3.667	1.736	2.703	na	-1.415	2.036	2.085	0.417	0.881	0.840	0.756	0.000	0.000	1.700	0.881	0.840	0.000	0.000	15.519	0.000	15.519	0.000	0.000	0.000	0.000	1.321	1.228	-3.000	-3.000	-6.542	3.020	1.510	1.510	0.510	0.510	2	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.665
126	c1ccc(cc1)O	94.120	7.240	6	0	0	0	0	7.7	0.000	0.000	0.000	0.915	2.632	2.524	-0.147	0.643	2.022	0.827	0.615	-0.827	-0.579	3.792	1.257	1.131	1.130	0.984	1.193	0.000	0.000	0.853	1.118	1.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	1	0	5	0	0	0	0.000	0.000	0	0	2	0	2	2	0	0	0	0	2	0	0	0	2.268
127	c1ccc(cc1)CC(=O)O	136.160	7.564	7	2	1	0	0	11.1	0.000	0.000	0.000	0.914	3.169	2.783	0.026	0.486	1.435	0.709	0.556	-0.764	-0.701	5.574	1.769	-0.133	1.158	0.995	1.689	2.135	0.000	0.950	1.079	0.514	0.000	2.535	0.000	0.000	2.535	0.000	0.000	6.630	0.910	0.528	-0.152	-2.000	0.000	0.000	0.242	0.000	0.000	-1.404	-2.000	0	0	0	0	0	0	5	2	0	0	0.000	0.000	0	1	1	1	2	2	0	0	0	0	2	0	0	0	3.117
128	c1ccc(cc1)N=C=O	119.130	8.509	8	1	2	1	0	7.1	0.000	0.000	0.000	0.854	2.683	2.685	-0.048	0.507	1.506	0.768	0.571	-1.473	-0.830	2.967	1.096	-0.868	1.044	1.026	2.504	6.575	0.000	0.963	0.415	0.791	0.000	0.000	0.000	0.000	16.786	0.000	0.000	2.757	0.000	0.353	-0.287	-1.828	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	0	0	0	0	1	0	5	0	0	0	0.000	0.000	0	0	0	0	2	2	0	0	0	0	1	0	0	0	2.605
129	C(=O)(Cl)Cl	98.910	24.727	1	0	1	0	0	25.0	0.000	0.000	0.000	1.338	1.975	4.222	-1.037	1.592	0.000	0.000	0.000	na	-0.133	2.095	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.764	0.000	2.049	0.000	0.000	0.000	0.000	-1.200	-1.874	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.041
130	P(Cl)(Cl)Cl	137.320	34.330	0	0	0	0	0	0.0	0.000	0.000	0.000	4.564	0.759	3.352	-1.007	1.592	0.000	0.000	0.000	na	-0.134	0.026	0.382	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	21.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.860
131	P(Cl)(Cl)(Cl)(Cl)Cl	208.220	34.703	0	0	0	0	0	0.0	0.000	0.000	0.000	4.564	0.867	3.533	-0.392	1.601	0.000	0.000	0.000	na	-0.051	0.039	0.471	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.957
132	O=P(Cl)(Cl)Cl	153.320	30.664	1	0	1	0	0	20.0	0.000	0.000	0.000	3.834	2.512	4.028	0.650	1.553	0.000	0.000	0.000	na	-0.097	1.936	0.666	0.000	0.000	0.000	0.000	0.000	0.000	1.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.976	8.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0.041
133	c1ccc2c(c1)C(=O)OC2=O	148.120	9.875	8	0	2	0	0	20.0	0.000	17.220	0.000	0.786	3.833	2.924	na	0.474	1.606	0.933	0.933	-3.678	na	2.281	1.278	-1.758	1.047	1.184	2.380	0.000	0.000	0.918	0.811	1.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.754	0.000	0.500	0.914	-1.284	-6.144	0.000	1.070	0.000	0.000	-0.829	-1.627	0	0	2	0	0	0	4	0	0	0	0.000	0.000	0	0	0	0	4	6	0	0	0	0	8	0	0	0	4.804
134	c1ccc2c(c1)C(=NC2=O)O	147.140	9.196	8	0	2	1	0	12.5	0.000	17.220	0.000	0.801	3.928	2.788	na	0.474	1.606	0.375	0.000	-1.998	-3.057	2.948	1.318	-0.002	1.020	1.261	2.224	0.000	0.000	0.788	0.800	0.995	0.000	0.000	0.000	0.000	16.786	0.000	0.000	11.076	0.000	0.326	0.914	-1.284	-6.144	0.000	0.673	0.000	0.000	-0.895	-1.662	0	0	2	0	0	0	4	0	0	0	0.000	0.000	0	1	1	0	4	6	0	0	0	0	6	0	0	0	4.804
135	C1CCNCC1	85.170	5.010	0	0	0	1	0	0.0	0.000	0.000	0.000	1.354	0.785	1.667	0.249	0.684	2.056	1.294	1.294	-0.746	-0.950	7.279	1.596	0.000	0.995	0.718	0.000	0.000	0.000	1.488	1.007	0.681	0.000	11.815	0.000	0.000	29.826	0.000	0.000	11.815	0.000	0.133	-1.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	3	0	0	0	2	4	0	4	0	0.000	0.000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.668
136	c1ccc(cc1)/C=C(/C(=O)N)\N	162.210	7.373	8	2	2	2	0	4.5	0.000	0.000	0.000	0.880	3.533	2.667	na	0.448	1.293	0.671	0.545	-1.350	-1.219	6.639	1.744	-0.214	1.199	1.027	0.750	1.483	1.110	0.798	0.842	1.263	0.000	65.794	0.000	0.000	65.794	12.233	0.000	10.647	0.000	0.163	1.000	-0.531	-4.789	0.000	0.000	0.000	0.000	-1.000	-1.294	0	0	3	0	0	0	6	0	0	0	0.000	0.000	0	1	1	3	0	1	0	0	0	0	1	0	0	0	0.570
137	CCC=O	58.090	5.809	1	1	1	0	0	10.0	0.000	0.000	0.000	1.351	2.174	3.125	-1.022	1.089	3.132	1.008	0.000	-0.356	-0.578	3.333	0.908	0.000	0.710	0.408	0.000	0.000	0.000	1.660	0.977	2.611	8.825	2.535	0.000	0.000	11.360	11.424	0.000	2.535	0.000	0.852	0.000	0.000	0.000	0.000	0.000	-1.277	0.000	0.000	0.000	1	0	0	0	0	3	0	2	0	0	0.000	0.000	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0.041
138	CCC(=O)O	74.090	6.735	1	1	1	0	0	18.2	0.000	0.000	0.000	1.116	2.368	3.633	0.673	1.106	3.916	0.614	2.634	-0.387	-0.269	4.049	0.895	0.000	0.854	0.849	0.000	0.000	0.000	1.582	1.257	2.178	8.825	2.535	0.000	0.000	11.360	0.000	0.000	3.444	0.910	1.170	0.000	0.000	0.000	0.000	0.000	-0.757	-1.584	0.000	0.000	1	0	0	0	0	3	0	2	0	0	0.000	0.000	0	1	1	0	2	2	0	0	0	0	2	0	0	0	0.018
