No.	NAME	MW	AMW	nTA	nBM	RBN	nF	N%	O%	D/Dtr05	D/Dtr09	D/Dtr10	MAXDP	X2v	Yindex	IC3	CIC5	VR1_D/Dt	ATSC2m	ATSC3m	ATSC1p	GATS6e	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_v_3	P_VSA_p_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_5	P_VSA_ppp_D	SpDiam_EA(dm)	Chi1_EA(dm)	SM13_AEA(dm)	SM14_AEA(dm)	SM15_AEA(dm)	SM02_AEA(ri)	SM03_AEA(ri)	SM04_AEA(ri)	SM05_AEA(ri)	SM06_AEA(ri)	SM10_AEA(ri)	nCp	nCs	H-046	H-047	H-051	H-052	SaaN	SssO	CATS2D_02_AA	CATS2D_02_AL	CATS2D_03_AL	CATS2D_05_AL	CATS2D_04_LL	T(N..Cl)	T(O..F)	T(O..Cl)	T(F..Cl)	F01[C-N]	F03[C-O]	F03[C-Cl]	MLOGP2
55	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	292.280	8.119	8	4	11	0	5.6	22.2	0.000	0.000	0.000	3.555	3.996	1.931	3.059	2.111	na	13.661	19.776	2.520	0.690	0.000	12.634	0.000	0.000	0.000	18.883	0.000	16.274	0.000	0.000	16.274	0.000	170.733	4.004	13.959	5.051	4.316	3.899	1.279	-0.661	-0.661	-1.704	-2.000	-2.895	0	0	0	12	0	0	0.000	0.000	4	0	0	0	0	0	0	0	0	6	0	0	1.845
56	CCOC(=O)C	88.120	6.294	3	1	2	0	0.0	14.3	0.000	0.000	0.000	2.822	0.925	2.636	2.985	1.638	na	5.775	5.618	1.168	0.000	17.650	4.592	0.000	0.000	0.000	22.243	0.000	29.434	0.000	0.000	11.784	0.000	0.000	4.174	2.837	-2.000	-3.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	2	3	3	0.000	4.403	1	3	0	0	1	0	0	0	0	0	1	0	0.344
57	CCc1ccccc1	106.180	5.899	1	6	1	0	0.0	0.0	0.000	0.000	0.000	0.162	1.839	1.782	3.197	0.820	7.596	6.514	7.405	1.894	0.638	8.825	2.535	47.381	0.000	0.000	11.360	0.000	61.927	0.000	0.000	5.720	0.000	0.000	0.000	1.471	0.604	-1.393	-2.347	-4.096	-4.789	0.000	0.000	0.000	0.000	1	1	5	5	0	0	0.000	0.000	0	0	0	0	3	0	0	0	0	0	0	0	8.653
58	CCN	45.100	4.510	2	0	0	0	10.0	0.0	0.000	0.000	0.000	0.847	0.408	0.000	2.114	0.000	na	2.653	1.905	0.645	0.000	8.825	35.003	0.000	0.000	0.000	43.828	0.000	10.931	0.000	0.000	2.106	0.000	32.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	2	0	3	0.000	0.000	0	0	0	0	0	0	0	0	0	1	0	0	0.030
59	C(CBr)Br	187.860	23.482	2	0	0	0	0.0	0.0	0.000	0.000	0.000	0.451	1.964	3.132	1.000	0.000	na	58.286	71.231	0.482	0.000	0.000	4.808	0.000	91.908	0.000	4.808	0.000	96.716	0.000	0.000	4.808	91.908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	4	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	4.957
60	C1COC(=O)O1	88.070	8.807	1	1	0	0	0.0	30.0	12.467	0.000	0.000	2.799	0.947	2.803	2.122	1.532	5.810	4.628	4.253	0.787	0.000	0.000	9.185	0.000	0.000	0.000	9.185	0.000	18.434	0.000	0.000	18.434	0.000	0.000	4.496	3.701	-1.747	-3.780	-4.372	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	4	0	0	0.000	8.583	3	0	0	0	0	0	0	0	0	0	2	0	0.474
61	C(CCl)Cl	98.960	12.370	2	0	0	0	0.0	0.0	0.000	0.000	0.000	0.943	1.134	3.132	1.000	0.000	na	9.289	14.543	0.676	0.000	0.000	5.699	0.000	0.000	0.000	5.699	78.297	83.996	0.000	0.000	5.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	4	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	3.301
62	CCOCCOCC	118.200	5.373	2	0	5	0	0.0	9.1	0.000	0.000	0.000	1.511	1.394	1.574	2.664	1.796	na	9.268	8.936	1.862	1.520	17.650	18.370	0.000	0.000	22.000	36.020	0.000	36.020	0.000	0.000	18.370	0.000	0.000	1.720	6.296	0.000	-1.120	-2.449	-3.570	0.000	0.000	0.000	0.000	0.000	2	0	0	8	0	6	0.000	10.021	0	2	0	2	0	0	0	0	0	0	0	0	0.499
63	COCCOC	90.140	5.634	2	0	3	0	0.0	12.5	0.000	0.000	0.000	1.157	0.986	1.958	2.156	2.219	na	6.806	5.275	1.118	0.103	21.766	9.185	0.000	0.000	22.000	9.185	0.000	30.951	0.000	0.000	9.185	0.000	0.000	1.720	3.970	-1.414	-3.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	10	0	0	0.000	9.314	0	0	0	0	0	0	0	0	0	0	0	0	0.007
64	CCOCCO	90.140	5.634	2	0	3	0	0.0	12.5	0.000	0.000	0.000	2.072	0.921	1.958	3.328	1.172	na	6.584	6.435	1.225	1.133	8.825	9.185	42.683	0.000	53.683	18.010	0.000	18.010	0.000	0.000	9.185	0.000	42.683	1.720	3.148	-1.414	-3.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	6	0	3	0.000	4.733	0	1	0	1	0	0	0	0	0	0	0	0	0.007
65	C1CO1	44.060	6.294	0	0	0	0	0.0	14.3	0.000	0.000	0.000	1.000	0.612	0.000	1.379	0.000	na	2.647	0.774	0.608	0.000	0.000	9.185	0.000	0.000	11.000	9.185	0.000	9.185	0.000	0.000	9.185	0.000	0.000	1.720	2.807	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	4	0	0	0.000	4.500	0	0	0	0	0	0	0	0	0	0	0	0	0.319
66	C(CN)N	60.120	5.010	2	0	1	0	16.7	0.0	0.000	0.000	0.000	0.903	0.577	3.132	1.918	3.057	na	3.868	3.667	0.653	0.000	0.000	70.006	0.000	0.000	0.000	70.006	0.000	4.211	0.000	0.000	4.211	0.000	65.794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	4	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	2	0	0	1.109
67	C(=O)O	46.030	9.206	2	1	0	0	0.0	40.0	0.000	0.000	0.000	1.361	0.105	0.000	1.393	0.000	na	1.251	0.852	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.201	0.000	0.000	0.000	0.000	42.683	2.873	0.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0	0	1.056
68	C(C(=O)O)N	75.080	7.508	3	1	1	0	10.0	20.0	0.000	0.000	0.000	2.243	0.598	3.916	2.922	2.525	na	3.418	4.458	0.517	0.000	0.000	35.003	0.000	0.000	0.000	35.003	0.000	3.016	0.000	0.000	3.016	0.000	75.581	3.984	1.812	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	2	0	0	0.000	0.000	1	0	0	0	0	0	0	0	0	1	0	0	11.813
69	C(=O)C=O	58.040	9.673	2	2	1	0	0.0	33.3	0.000	0.000	0.000	1.806	0.272	3.132	1.057	0.000	na	1.246	1.558	0.452	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.848	22.848	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	1.705
70	c1cc(ccc1O)O	110.120	7.866	2	6	0	0	0.0	14.3	0.000	0.000	0.000	2.646	1.516	1.848	2.236	1.571	7.540	3.619	5.854	1.337	4.238	0.000	0.000	37.905	0.000	0.000	0.000	0.000	37.905	0.000	0.000	0.000	0.000	85.367	0.000	2.326	0.000	-2.275	-3.000	-3.623	-5.275	0.000	0.000	0.000	0.000	0	0	0	4	0	0	0.000	0.000	0	4	4	0	0	0	0	0	0	0	4	0	0.798
71	c1cnc[nH]1	68.090	7.566	0	5	0	0	22.2	0.0	9.167	0.000	0.000	0.667	0.761	3.125	3.170	-0.000	na	2.938	2.782	0.437	0.000	0.000	0.000	9.047	0.000	0.000	34.452	16.786	26.713	0.000	0.000	0.000	16.786	16.786	0.000	0.000	-3.236	-3.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	3.667	0.000	0	0	0	0	0	0	0	0	0	4	0	0	0.134
72	CC(C)COC(=O)C	116.180	5.809	4	1	3	0	0.0	10.0	0.000	0.000	0.000	3.126	2.196	2.125	3.109	1.645	na	8.264	9.212	1.867	1.655	26.476	4.592	0.000	0.000	0.000	31.068	0.000	38.259	0.000	0.000	11.784	0.000	0.000	4.174	2.837	-2.000	-2.000	-2.606	-4.507	0.000	0.000	0.000	0.000	0.000	3	0	6	2	3	1	0.000	4.664	1	3	2	2	1	0	0	0	0	0	3	0	1.886
73	CCCC(C)C	86.200	4.310	3	0	2	0	0.0	0.0	0.000	0.000	0.000	0.253	2.183	2.636	3.009	2.294	na	6.409	6.820	2.067	0.000	26.476	5.069	0.000	0.000	0.000	31.545	0.000	31.545	0.000	0.000	5.069	0.000	0.000	0.000	0.000	-2.000	-3.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	2	14	0	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	12.363
74	CC(C)O	60.110	5.009	3	0	0	0	0.0	8.3	0.000	0.000	0.000	2.056	1.094	0.000	1.827	0.000	na	4.124	4.157	0.991	0.000	17.650	0.000	42.683	0.000	42.683	17.650	0.000	17.650	0.000	0.000	0.000	0.000	42.683	0.000	1.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	1	0	1	0	6	0.000	0.000	0	2	0	0	0	0	0	0	0	0	0	0	0.120
75	CC(C)OC(=O)C	102.150	6.009	4	1	2	0	0.0	11.8	0.000	0.000	0.000	3.032	1.658	2.672	2.778	2.031	na	7.047	7.815	1.519	0.000	26.476	0.000	0.000	0.000	0.000	26.476	0.000	33.667	0.000	0.000	7.191	0.000	0.000	4.174	5.163	-2.000	-2.000	-4.772	0.000	0.000	0.000	0.000	0.000	0.000	3	1	0	1	3	6	0.000	4.611	1	4	0	0	2	0	0	0	0	0	1	0	0.991
76	CC(C)N	59.130	4.548	3	0	0	0	7.7	0.0	0.000	0.000	0.000	1.111	1.244	0.000	1.915	0.000	na	4.035	3.917	1.001	0.000	17.650	32.897	0.000	0.000	0.000	50.548	0.000	17.650	0.000	0.000	0.000	0.000	32.897	0.000	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	1	0	1	0	6	0.000	0.000	0	0	0	0	0	0	0	0	0	1	0	0	0.120
77	CC(C(=O)O)O	90.090	7.508	4	1	1	0	0.0	25.0	0.000	0.000	0.000	2.449	1.014	3.971	3.189	2.487	na	4.381	6.213	0.875	0.000	8.825	0.000	42.683	0.000	42.683	8.825	0.000	9.735	0.000	0.000	0.910	0.000	85.367	4.062	3.109	-2.000	-4.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	1	0	1	0	3	0.000	0.000	1	1	2	0	0	0	0	0	0	0	2	0	0.494
78	c1(nc(nc(n1)N)N)N	126.150	8.410	3	6	0	0	40.0	0.0	0.000	0.000	0.000	1.137	1.410	1.903	1.922	1.985	na	4.473	4.705	0.112	0.000	0.000	0.000	98.692	0.000	0.000	5.697	50.357	5.697	0.000	0.000	5.697	0.000	98.692	0.000	15.000	-0.891	-0.891	-1.583	-4.072	-4.072	-6.000	0.000	0.000	0.000	0	0	0	0	0	0	10.463	0.000	3	0	0	0	0	0	0	0	0	9	0	0	0.000
79	CC(=C)C(=O)O	86.100	7.175	4	2	1	0	0.0	16.7	0.000	0.000	0.000	2.600	1.085	3.971	3.022	2.355	na	3.912	3.834	1.067	0.000	8.825	15.767	0.000	0.000	0.000	8.825	0.000	28.688	0.000	0.000	4.095	0.000	42.683	2.873	2.175	-2.000	-4.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	3	2	0	0	0.000	0.000	1	2	4	0	0	0	0	0	0	0	4	0	0.229
80	CS(=O)(=O)O	96.120	10.680	4	2	0	0	0.0	33.3	0.000	0.000	0.000	2.187	2.199	0.000	2.067	0.000	na	8.417	4.012	1.203	0.000	7.190	0.000	40.435	0.000	39.096	0.000	1.339	8.529	0.000	1.339	0.000	0.000	39.096	5.850	1.480	-3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	0.000	0.000	3	0	0	0	0	0	0	0	0	0	0	0	2.449
81	CO	32.050	5.342	2	0	0	0	0.0	16.7	0.000	0.000	0.000	1.000	0.000	0.000	0.931	0.000	0.816	1.551	0.390	0.200	0.000	4.602	0.000	42.683	0.000	42.683	0.000	0.000	4.602	0.000	0.000	0.000	0.000	42.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	3	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0.663
82	COC(=O)C=C	86.100	7.175	3	2	2	0	0.0	16.7	0.000	0.000	0.000	2.840	0.727	3.135	3.022	1.758	na	4.468	3.364	1.021	0.000	10.883	15.767	9.476	0.000	0.000	0.000	9.476	43.318	0.000	0.000	7.191	0.000	0.000	3.349	2.098	-2.653	-3.791	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	4.142	1	2	2	0	0	0	0	0	0	0	3	0	0.229
83	CCC(=O)C	72.120	5.548	3	1	1	0	0.0	7.7	0.000	0.000	0.000	2.812	1.056	3.916	2.815	2.724	na	4.548	4.885	1.253	0.000	17.650	2.535	0.000	0.000	0.000	20.185	0.000	25.318	0.000	0.000	7.668	0.000	0.000	3.677	1.993	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	1	3	0	5	0	0.000	0.000	0	2	1	0	0	0	0	0	0	0	1	0	0.429
84	COC=O	60.060	7.507	2	1	1	0	0.0	25.0	0.000	0.000	0.000	1.951	0.332	3.132	2.031	0.000	na	3.431	1.076	0.442	0.000	10.883	0.000	0.000	0.000	0.000	0.000	0.000	24.365	0.000	0.000	0.000	0.000	0.000	3.349	1.194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	0.000	3.861	1	0	0	0	0	0	0	0	0	0	1	0	0.149
85	CI	141.940	28.388	2	0	0	0	0.0	0.0	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.816	71.685	0.000	0.144	0.000	7.299	0.000	0.000	56.782	0.000	0.000	0.000	7.299	56.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	3	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	1.860
86	CC(C)(C)OC	88.170	4.898	4	0	1	0	0.0	5.6	0.000	0.000	0.000	1.437	2.316	5.184	2.057	3.239	na	6.926	7.771	1.617	0.000	37.359	0.000	0.000	0.000	11.000	26.476	0.000	37.359	0.000	0.000	0.000	0.000	0.000	1.720	8.140	-3.000	-4.381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	0	0	3	0	9	0.000	4.937	0	3	0	0	0	0	0	0	0	0	0	0	1.463
87	COCCC(=O)OC	118.150	6.564	3	1	4	0	0.0	16.7	0.000	0.000	0.000	3.268	1.319	2.049	3.419	0.982	na	8.178	6.969	1.421	2.051	21.766	7.127	0.000	0.000	11.000	7.127	0.000	36.084	0.000	0.000	14.318	0.000	0.000	4.174	4.153	0.000	-1.800	-2.906	-4.344	0.000	0.000	0.000	0.000	0.000	0	1	0	8	2	0	0.000	8.947	1	3	0	0	0	0	0	0	0	0	4	0	0.026
88	CN	31.070	4.439	2	0	0	0	14.3	0.0	0.000	0.000	0.000	0.500	0.000	0.000	1.040	0.000	0.816	1.368	0.489	0.273	0.000	8.396	32.897	0.000	0.000	0.000	32.897	0.000	8.396	0.000	0.000	0.000	0.000	32.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	3	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	1	0	0	0.663
89	CC1CCCCC1	98.210	4.677	1	0	0	0	0.0	0.0	0.000	0.000	0.000	0.360	2.743	2.022	2.856	1.274	6.593	8.575	9.973	2.386	0.000	8.825	12.673	0.000	0.000	0.000	21.498	0.000	21.498	0.000	0.000	12.673	0.000	0.000	0.000	0.000	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	1	5	14	0	0	0	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	0	12.092
90	CN(C)C=O	73.110	6.093	3	1	0	0	8.3	8.3	0.000	0.000	0.000	2.431	1.069	3.916	1.827	0.000	na	4.648	3.732	0.686	0.000	16.793	3.124	0.000	0.000	0.000	3.124	0.000	27.788	0.000	0.000	0.000	0.000	0.000	2.293	3.384	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	0.000	1	0	0	0	0	0	0	0	0	3	2	0	0.074
91	c1ccc2c(c1)cccc2S(=O)(=O)O	208.250	9.466	3	13	1	0	0.0	13.6	0.000	0.000	49.202	4.002	4.342	1.343	3.754	0.091	14.661	6.072	9.680	2.565	1.955	0.000	0.000	106.769	0.000	39.096	0.000	1.339	74.369	0.000	1.339	6.697	0.000	39.096	5.850	2.503	3.656	2.796	1.775	-1.097	-1.478	-2.445	-3.000	-3.000	-7.720	0	0	0	7	0	0	0.000	0.000	3	0	6	9	5	0	0	0	0	0	6	0	3.905
92	c1ccc(cc1)[N](=O)[O]	123.120	8.794	2	7	1	0	7.1	14.3	0.000	0.000	0.000	3.006	1.593	1.764	3.039	0.571	8.605	3.079	5.069	1.153	4.072	6.545	0.000	47.381	0.000	0.000	0.000	6.545	50.138	0.000	0.000	2.757	0.000	0.000	2.393	6.570	2.136	-1.582	-2.000	-2.347	-4.789	-5.459	0.000	0.000	0.000	0	0	0	5	0	0	0.000	0.000	1	2	6	2	0	0	0	0	0	1	4	0	1.750
93	CN1CCCC1=O	99.150	6.197	2	1	0	0	6.3	6.3	15.767	0.000	0.000	3.500	1.919	2.704	3.328	0.672	6.678	7.341	8.319	1.368	0.000	8.396	10.299	0.000	0.000	0.000	10.299	0.000	20.276	0.000	0.000	11.879	0.000	0.000	3.348	8.162	-0.923	-2.780	-4.183	-5.553	0.000	0.000	0.000	0.000	0.000	0	2	0	5	2	2	0.000	0.000	1	3	1	0	0	0	0	0	0	3	3	0	0.039
94	c1ccc(c(c1)N)O	109.140	7.276	2	6	0	0	6.7	6.7	0.000	0.000	0.000	2.794	1.559	2.091	3.640	0.133	7.711	4.481	6.255	1.256	0.000	0.000	0.000	70.802	0.000	0.000	0.000	0.000	40.662	0.000	0.000	2.757	0.000	75.581	0.000	2.369	0.000	-1.645	-3.451	-3.464	-5.792	0.000	0.000	0.000	0.000	0	0	0	4	0	0	0.000	0.000	0	1	2	0	0	0	0	0	0	1	2	0	1.972
95	c1ccc(c(c1)C=O)Cl	140.570	10.041	2	7	1	0	0.0	7.1	0.000	0.000	0.000	3.143	2.047	1.894	3.664	0.000	8.679	2.473	5.981	1.062	2.568	0.000	0.000	37.905	39.149	0.000	0.000	50.573	95.164	0.000	0.000	6.686	0.000	0.000	0.000	1.158	0.817	-0.549	-1.880	-3.459	-4.256	-5.882	0.000	0.000	0.000	0	0	0	4	0	0	0.000	0.000	0	1	1	1	1	0	0	4	0	0	2	3	5.618
96	Cc1ccccc1Cl	126.590	8.439	2	6	0	0	0.0	0.0	0.000	0.000	0.000	1.598	2.156	2.091	3.457	0.317	7.711	5.215	7.746	1.324	0.000	8.825	0.000	37.905	39.149	0.000	8.825	39.149	92.565	0.000	0.000	6.686	0.000	0.000	0.000	1.345	0.000	-1.645	-3.451	-3.464	-5.792	0.000	0.000	0.000	0.000	1	0	3	4	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	3	10.302
97	Cc1ccccc1O	108.150	6.759	2	6	0	0	0.0	6.3	0.000	0.000	0.000	2.919	1.786	2.091	3.578	0.297	7.711	5.401	6.578	1.615	0.000	8.825	0.000	37.905	0.000	0.000	8.825	0.000	49.916	0.000	0.000	3.186	0.000	42.683	0.000	1.846	0.000	-1.645	-3.451	-3.464	-5.792	0.000	0.000	0.000	0.000	1	0	3	4	0	0	0.000	0.000	0	2	3	0	1	0	0	0	0	0	3	0	3.456
98	c1ccc(c(c1)[N](=O)[O])O	139.120	9.275	3	7	1	0	6.7	20.0	0.000	0.000	0.000	3.067	1.746	1.869	3.774	0.000	9.663	2.725	4.966	1.228	2.197	6.545	0.000	37.905	0.000	0.000	0.000	6.545	40.662	0.000	0.000	2.757	0.000	42.683	2.393	5.984	2.304	-0.520	-2.000	-2.016	-3.459	-5.184	-6.295	0.000	0.000	0	0	0	4	0	0	0.000	0.000	1	2	6	2	0	0	0	0	0	1	6	0	0.613
99	c1cc(ccc1O)Cl	128.560	9.889	2	6	0	0	0.0	7.7	0.000	0.000	0.000	2.698	1.913	1.848	3.085	0.615	7.540	2.293	7.323	1.092	3.352	0.000	0.000	37.905	39.149	0.000	0.000	39.149	80.554	0.000	0.000	3.501	0.000	42.683	0.000	1.804	0.000	-2.275	-3.000	-3.623	-5.275	0.000	0.000	0.000	0.000	0	0	0	4	0	0	0.000	0.000	0	2	2	1	0	0	0	5	0	0	2	2	4.525
100	C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F	288.050	16.944	12	0	2	12	0.0	0.0	0.000	0.000	0.000	4.031	2.719	3.667	2.352	2.703	na	2.036	1.908	2.085	0.000	0.000	0.000	0.000	15.519	0.000	15.519	0.000	20.991	0.000	0.000	0.000	0.000	0.000	4.530	9.525	6.000	3.756	-3.000	-3.000	-3.000	-3.000	-3.000	-3.000	-8.481	2	3	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	17.665
101	c1ccc(cc1)O	94.120	7.240	1	6	0	0	0.0	7.7	0.000	0.000	0.000	2.632	1.336	2.022	2.873	0.615	6.593	3.792	5.358	1.257	0.000	0.000	0.000	47.381	0.000	0.000	0.000	0.000	47.381	0.000	0.000	0.000	0.000	42.683	0.000	1.163	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	0	0	0	5	0	0	0.000	0.000	0	2	2	0	0	0	0	0	0	0	2	0	2.268
102	c1ccc(cc1)CC(=O)O	136.160	7.564	2	7	2	0	0.0	11.1	0.000	0.000	0.000	3.169	2.056	1.435	3.461	0.556	9.618	5.574	8.021	1.769	2.237	0.000	2.535	47.381	0.000	0.000	2.535	0.000	54.011	0.000	0.000	6.630	0.000	42.683	4.030	6.175	2.136	-0.366	-2.000	-2.294	-2.347	-4.789	-5.180	0.000	0.000	0	1	0	5	2	0	0.000	0.000	1	2	2	4	1	0	0	0	0	0	2	0	3.117
103	c1ccc(cc1)N=C=O	119.130	8.509	1	8	1	0	7.1	7.1	0.000	0.000	0.000	2.683	1.539	1.506	3.039	0.571	8.606	2.967	4.825	1.096	4.510	0.000	0.000	47.381	0.000	0.000	16.786	0.000	68.075	0.000	0.000	2.757	17.937	0.000	3.175	7.093	1.684	-0.472	-1.828	-2.347	-4.501	-4.789	0.000	0.000	0.000	0	0	0	5	0	0	0.000	0.000	1	2	2	2	0	0	0	0	0	2	1	0	2.605
104	C(=O)(Cl)Cl	98.910	24.727	3	1	0	0	0.0	25.0	0.000	0.000	0.000	1.975	1.106	0.000	0.000	0.000	na	2.095	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	84.061	0.000	0.000	5.764	0.000	0.000	4.948	0.958	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	2	0	0	0	0	0	4	0	0	0	0	0.041
105	P(Cl)(Cl)Cl	137.320	34.330	3	0	0	0	0.0	0.0	0.000	0.000	0.000	0.759	5.175	0.000	0.000	0.000	na	0.026	0.000	0.382	0.000	0.000	21.747	0.000	0.000	0.000	0.000	0.000	129.134	21.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	1.860
106	P(Cl)(Cl)(Cl)(Cl)Cl	208.220	34.703	5	0	0	0	0.0	0.0	0.000	0.000	0.000	0.867	17.250	0.000	0.000	0.000	na	0.039	0.000	0.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	178.978	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	4.957
107	O=P(Cl)(Cl)Cl	153.320	30.664	4	1	0	0	0.0	20.0	0.000	0.000	0.000	2.512	7.038	0.000	0.000	0.000	na	1.936	0.000	0.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.976	116.362	8.976	8.976	0.000	0.000	0.000	0.000	0.000	-3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	3	0	0	0	0	0	6	0	0	0	0	0.041
108	c1ccc2c(c1)C(=O)OC2=O	148.120	9.875	2	8	0	0	0.0	20.0	17.220	32.421	0.000	3.833	2.223	1.606	2.974	0.933	11.638	2.281	3.893	1.278	3.497	0.000	0.000	37.905	0.000	0.000	0.000	0.000	58.659	0.000	0.000	20.754	0.000	0.000	3.859	3.309	2.779	2.168	-1.284	-1.377	-2.128	-3.819	-5.174	-6.144	0.000	0	0	0	4	0	0	0.000	4.354	2	4	6	2	0	0	0	0	0	0	8	0	4.804
109	c1ccc2c(c1)C(=NC2=O)O	147.140	9.196	2	8	0	0	6.3	12.5	17.220	32.421	0.000	3.928	2.286	1.606	3.625	0.000	11.638	2.948	4.792	1.318	1.882	0.000	0.000	37.905	0.000	0.000	16.786	0.000	48.981	0.000	0.000	11.076	0.000	42.683	2.562	5.040	2.779	2.168	-1.284	-1.377	-2.128	-3.819	-5.174	-6.144	0.000	0	0	0	4	0	0	0.000	0.000	2	4	6	2	0	0	0	0	0	2	6	0	4.804
110	C1CCNCC1	85.170	5.010	0	0	0	0	5.9	0.0	0.000	0.000	0.000	0.785	1.811	2.056	2.793	1.294	na	7.279	7.827	1.596	0.000	0.000	11.815	18.011	0.000	0.000	29.826	0.000	11.815	0.000	0.000	11.815	18.011	18.011	0.800	7.500	-2.000	-2.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0	3	2	4	0	4	0.000	0.000	0	0	0	0	0	0	0	0	0	2	0	0	0.668
