,MW,AMW,nTA,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr09,D/Dtr10,MAXDP,X2v,Yindex,IC3,CIC5,ATSC2m,ATSC3m,ATSC1p,GATS6e,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_v_3,P_VSA_p_4,P_VSA_s_1,P_VSA_s_3,P_VSA_s_5,P_VSA_ppp_D,SpDiam_EA(dm),Chi1_EA(dm),SM13_AEA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM03_AEA(ri),SM04_AEA(ri),SM05_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SaaN,SssO,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F01[C-N],F03[C-O],F03[C-Cl],MLOGP2
23,106.13,7.581,1,7,1,0,0.0,7.1,0.0,0.0,0.0,3.006,1.529,1.782,3.039,0.571,3.95,5.219,1.297,3.791,0.0,0.0,47.381,0.0,0.0,0.0,11.424,61.991,0.0,0.0,3.186,0.0,0.0,0.0,0.0,0.604,-1.393,-2.347,-4.096,-4.789,0.0,0.0,0.0,0.0,0,0,0,5,0,0,0.0,0.0,0,1,2,1,0,0,0,0,0,0,2,0,3.129
24,108.15,6.759,1,6,1,0,0.0,6.3,0.0,0.0,0.0,2.538,1.644,1.782,3.203,0.625,5.552,6.561,1.615,1.428,0.0,0.0,90.065,0.0,42.683,0.0,0.0,50.567,0.0,0.0,3.186,0.0,42.683,1.529,5.394,0.604,-1.393,-2.347,-4.096,-4.789,0.0,0.0,0.0,0.0,1,0,0,7,0,0,0.0,0.0,0,1,2,1,0,0,0,0,0,0,2,0,2.532
25,126.59,8.439,1,6,0,0,0.0,0.0,0.0,0.0,0.0,1.416,1.886,1.782,3.057,0.667,6.748,6.252,1.324,2.633,0.0,2.85,47.381,0.0,0.0,2.85,39.149,92.565,0.0,0.0,6.035,0.0,0.0,2.06,4.383,0.604,-1.393,-2.347,-4.096,-4.789,0.0,0.0,0.0,0.0,1,0,0,7,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,2,8.653
26,228.31,6.918,4,12,2,0,0.0,6.1,0.0,0.0,0.0,3.296,4.719,0.996,3.302,1.743,11.694,16.452,3.375,0.622,17.65,0.0,75.81,0.0,0.0,17.65,0.0,99.832,0.0,0.0,6.371,0.0,85.367,1.36,17.514,5.477,3.672,2.275,2.275,-0.388,-0.593,-3.0,-3.0,-5.275,2,0,6,8,0,0,0.0,0.0,0,4,4,2,16,0,0,0,0,0,4,0,10.928
27,67.81,16.953,3,0,0,3,0.0,0.0,0.0,0.0,0.0,1.667,0.247,0.0,0.0,0.0,0.087,0.0,1.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.298
28,123.0,11.182,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.498,1.482,3.132,2.349,0.0,14.204,17.552,1.231,0.0,8.825,4.939,0.0,45.954,0.0,13.764,0.0,59.718,0.0,0.0,4.939,45.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.106
29,246.34,8.798,6,4,7,0,0.0,21.4,0.0,0.0,0.0,3.474,6.047,1.463,3.039,1.768,20.001,22.227,3.633,0.927,14.381,14.254,15.5,0.0,17.091,14.254,15.5,44.134,0.0,15.5,14.254,0.0,0.0,6.648,4.63,2.354,0.697,-1.206,-3.0,-3.0,-3.0,-3.0,-3.013,0.0,0,2,0,10,0,4,0.0,8.857,6,2,2,4,0,0,0,0,0,0,6,0,0.25
30,116.18,5.809,3,1,4,0,0.0,10.0,0.0,0.0,0.0,3.096,1.694,1.812,3.546,0.992,8.25,8.893,1.867,0.894,17.65,9.661,0.0,0.0,0.0,27.312,0.0,34.503,0.0,0.0,16.853,0.0,0.0,4.174,2.837,-0.576,-2.0,-2.489,-4.115,0.0,0.0,0.0,0.0,0.0,2,2,5,2,3,2,0.0,4.643,1,3,1,1,1,0,0,0,0,0,2,0,1.886
31,94.5,11.813,3,1,0,0,0.0,25.0,0.0,0.0,0.0,2.236,0.795,3.916,2.375,0.0,4.559,2.955,0.699,0.0,0.0,2.85,0.0,0.0,0.0,2.85,39.149,42.908,0.0,0.0,3.759,0.0,42.683,4.2,1.638,-3.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,1,0,2,0,0,0,0,6,0,0,0,0,0.018
32,112.94,16.134,3,1,0,0,0.0,14.3,0.0,0.0,0.0,2.446,1.178,3.916,1.72,0.0,7.628,6.684,0.422,0.0,0.0,2.85,0.0,0.0,0.0,2.85,39.149,86.595,0.0,0.0,8.298,0.0,0.0,4.936,1.424,-3.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,0,1,1,0,0,0,0,5,0,0,0,0,0.429
