MW,AMW,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr10,MAXDP,Psi_i_A,Yindex,CIC4,CIC5,VR1_D/Dt,SpDiam_B(m),ATSC2m,ATSC1p,GATS6m,GATS7s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_s_1,P_VSA_s_3,P_VSA_ppp_D,SpDiam_EA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM04_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SssO,CATS2D_02_DL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F03[C-O],F03[C-Cl],MLOGP2
116.18,5.809,1,3,0,0,10,0,0,3.126,2.625,2.125,1.213,1.645,NA,4.492,8.264,1.867,1.772,0,26.476,4.592,0,0,31.068,0,0,11.784,0,4.174,-2,-2.606,-4.507,0,0,0,3,0,6,2,3,1,4.664,0,1,3,2,2,1,0,0,0,0,3,0,1.886
86.2,4.31,0,2,0,0,0,0,0,0.253,1.722,2.636,1.529,2.294,NA,3.993,6.409,2.067,0,0,26.476,5.069,0,0,31.545,0,0,5.069,0,0,-3.851,0,0,0,0,0,3,2,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12.363
60.11,5.009,0,0,0,0,8.3,0,0,2.056,2.833,0,2.786,0,NA,3.825,4.124,0.991,0,0,17.65,0,0,42.683,17.65,0,0,0,42.683,0,0,0,0,0,0,0,2,1,0,1,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0.12
102.15,6.009,1,2,0,0,11.8,0,0,3.032,2.786,2.672,1.55,2.031,NA,4.535,7.047,1.519,0,0,26.476,0,0,0,26.476,0,0,7.191,0,4.174,-2,-4.772,0,0,0,0,3,1,0,1,3,6,4.611,0,1,4,0,0,2,0,0,0,0,1,0,0.991
59.13,4.548,0,0,0,7.7,0,0,0,1.111,2.333,0,2.77,0,NA,3.814,4.035,1.001,0,0,17.65,32.897,0,0,50.548,0,0,0,32.897,0,0,0,0,0,0,0,2,1,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0.12
90.09,7.508,1,1,0,0,25,0,0,2.449,4,3.971,0.994,2.487,NA,4.637,4.381,0.875,0,0,8.825,0,0,42.683,8.825,0,0,0.91,85.367,4.062,-4.745,0,0,0,0,0,1,1,0,1,0,3,0,1,1,1,2,0,0,0,0,0,0,2,0,0.494
98.06,10.896,3,0,0,0,33.3,15.767,0,2.924,3.548,2.393,0.889,0.889,6.725,4.85,0.85,0.787,0,0,0,0,0,0,0,18.952,0,14.383,0,3.859,-2.408,-4.473,-5.041,0,0,0,0,0,0,2,0,0,3.972,0,2,4,2,0,0,0,0,0,0,4,0,0.252
126.15,8.41,6,0,0,40,0,0,0,1.137,2.889,1.903,1.985,1.985,NA,5.376,4.473,0.112,0,0,0,0,0,0,5.697,50.357,0,5.697,98.692,0,-0.891,-1.583,-4.072,-6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
32.06,5.343,0,0,0,33.3,0,0,0,0,4,0,0,0,0.816,2.2,1.302,0.08,0,0,0,0,0,0,0,0,0,0,65.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523
86.1,7.175,2,1,0,0,16.7,0,0,2.6,3.556,3.971,1.16,2.355,NA,4.894,3.912,1.067,0,0,8.825,15.767,0,0,8.825,0,0,4.095,42.683,2.873,-4.745,0,0,0,0,0,1,0,3,2,0,0,0,1,1,2,4,0,0,0,0,0,0,4,0,0.229
96.12,10.68,2,0,0,0,33.3,0,0,2.187,4.583,0,2.289,0,NA,5.481,8.417,1.203,0,0,7.19,0,0,39.096,0,1.339,1.339,0,39.096,5.85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2.449
32.05,5.342,0,0,0,0,16.7,0,0,1,4,0,0,0,0.816,2.225,1.551,0.2,0,0,4.602,0,0,42.683,0,0,0,0,42.683,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663
86.1,7.175,2,2,0,0,16.7,0,0,2.84,3.194,3.135,0.862,1.758,NA,4.644,4.468,1.021,0,0,10.883,15.767,0,0,0,9.476,0,7.191,0,3.349,-3.791,0,0,0,0,0,0,0,0,6,0,0,4.142,0,1,2,2,0,0,0,0,0,0,3,0,0.229
72.12,5.548,1,1,0,0,7.7,0,0,2.812,2.833,3.916,1.455,2.724,NA,4.415,4.548,1.253,0,0,17.65,2.535,0,0,20.185,0,0,7.668,0,3.677,0,0,0,0,0,0,2,1,3,0,5,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0.429
60.06,7.507,1,1,0,0,25,0,0,1.951,3.625,3.132,1.719,0,NA,3.896,3.431,0.442,0,0,10.883,0,0,0,0,0,0,0,0,3.349,0,0,0,0,0,0,0,0,0,3,0,0,3.861,0,1,0,0,0,0,0,0,0,0,1,0,0.149
141.94,28.388,0,0,0,0,0,0,0,0.03,2.06,0,0,0,0.816,9.816,71.685,0.144,0,0,7.299,0,56.782,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86
88.17,4.898,0,1,0,0,5.6,0,0,1.437,2.125,5.184,2.577,3.239,NA,4.467,6.926,1.617,0,0,37.359,0,0,11,26.476,0,0,0,0,1.72,-4.381,0,0,0,0,0,3,0,0,3,0,9,4.937,0,0,3,0,0,0,0,0,0,0,0,0,1.463
118.15,6.564,1,4,0,0,16.7,0,0,3.268,2.833,2.049,0.751,0.982,NA,4.487,8.178,1.421,1.484,0.215,21.766,7.127,0,11,7.127,0,0,14.318,0,4.174,-1.8,-2.906,-4.344,0,0,0,0,1,0,8,2,0,8.947,0,1,3,0,0,0,0,0,0,0,4,0,0.026
31.07,4.439,0,0,0,14.3,0,0,0,0.5,3,0,0,0,0.816,2.206,1.368,0.273,0,0,8.396,32.897,0,0,32.897,0,0,0,32.897,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663
50.49,10.098,0,0,0,0,0,0,0,0.528,3.056,0,0,0,0.816,2.941,6.51,0.469,0,0,9.14,0,0,0,0,39.149,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713
98.21,4.677,0,0,0,0,0,0,0,0.36,1.548,2.022,1.274,1.274,6.593,4.256,8.575,2.386,0,0,8.825,12.673,0,0,21.498,0,0,12.673,0,0,-2.347,-3.206,-4.789,0,0,0,1,5,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.092
99.15,6.197,1,0,0,6.3,6.3,15.767,0,3.5,2.452,2.704,0.672,0.672,6.678,4.641,7.341,1.368,0,0,8.396,10.299,0,0,10.299,0,0,11.879,0,3.348,-2.78,-4.183,-5.553,0,0,0,0,2,0,5,2,2,0,0,1,3,1,0,0,0,0,0,0,3,0,0.039
73.11,6.093,1,0,0,8.3,8.3,0,0,2.431,3,3.916,2.487,0,NA,4.24,4.648,0.686,0,0,16.793,3.124,0,0,3.124,0,0,0,0,2.293,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.074
208.25,9.466,13,1,0,0,13.6,0,49.202,4.002,2.851,1.343,0.273,0.091,14.661,6.601,6.072,2.565,1.183,1.528,0,0,0,39.096,0,1.339,1.339,6.697,39.096,5.85,2.796,1.775,-1.097,-2.445,-3,-7.72,0,0,0,7,0,0,0,0,3,0,6,9,5,0,0,0,0,6,0,3.905
123.12,8.794,7,1,0,7.1,14.3,0,0,3.006,3.074,1.764,0.571,0.571,8.605,5.283,3.079,1.153,2.944,0,6.545,0,0,0,0,6.545,0,2.757,0,2.393,-1.582,-2,-2.347,-5.459,0,0,0,0,0,5,0,0,0,0,1,2,6,2,0,0,0,0,0,4,0,1.75
109.14,7.276,6,0,0,6.7,6.7,0,0,2.794,2.667,2.091,0.133,0.133,7.711,5.28,4.481,1.256,0,0,0,0,0,0,0,0,0,2.757,75.581,0,-1.645,-3.451,-3.464,0,0,0,0,0,0,4,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1.972
140.57,10.041,7,1,0,0,7.1,0,0,3.143,2.716,1.894,0,0,8.679,5.524,2.473,1.062,0.654,0,0,0,39.149,0,0,50.573,0,6.686,0,0,-0.549,-1.88,-3.459,-5.882,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,4,0,2,3,5.618
126.59,8.439,6,0,0,0,0,0,0,1.598,2.181,2.091,0.317,0.317,7.711,5.493,5.215,1.324,0,0,8.825,0,39.149,0,8.825,39.149,0,6.686,0,0,-1.645,-3.451,-3.464,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,10.302
108.15,6.759,6,0,0,0,6.3,0,0,2.919,2.417,2.091,0.297,0.297,7.711,5.28,5.401,1.615,0,0,8.825,0,0,0,8.825,0,0,3.186,42.683,0,-1.645,-3.451,-3.464,0,0,0,1,0,3,4,0,0,0,2,0,2,3,0,1,0,0,0,0,3,0,3.456
139.12,9.275,7,1,0,6.7,20,0,0,3.067,3.333,1.869,0,0,9.663,5.426,2.725,1.228,1.926,0,6.545,0,0,0,0,6.545,0,2.757,42.683,2.393,-0.52,-2,-2.016,-5.184,0,0,0,0,0,4,0,0,0,1,1,2,6,2,0,0,0,0,0,6,0,0.613
32.06,5.343,0,0,0,33.3,0,0,0,0,4,0,0,0,0.816,2.2,1.302,0.08,0,0,0,0,0,0,0,0,0,0,65.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523
128.56,9.889,6,0,0,0,7.7,0,0,2.698,2.681,1.848,0.615,0.615,7.54,5.443,2.293,1.092,6.401,0,0,0,39.149,0,0,39.149,0,3.501,42.683,0,-2.275,-3,-3.623,0,0,0,0,0,0,4,0,0,0,2,0,2,2,1,0,0,0,5,0,2,2,4.525
139.12,9.275,7,1,0,6.7,20,0,0,3.036,3.333,1.597,0.533,0.533,9.534,5.374,2.725,1.228,0.724,3.784,6.545,0,0,0,0,6.545,0,2.757,42.683,2.393,-0.5,-2,-3,-5.275,0,0,0,0,0,4,0,0,0,2,1,4,8,0,0,0,0,0,0,6,0,0.613
137.15,8.068,7,1,0,5.9,11.8,0,0,3.118,2.933,1.597,0.75,0.75,9.534,5.376,5.215,1.505,1.394,5.061,15.37,0,0,0,8.825,6.545,0,5.942,0,2.393,-0.5,-2,-3,-5.275,0,0,1,0,3,4,0,0,0,0,1,2,6,3,0,0,0,0,0,4,0,2.81
108.16,6.76,6,0,0,12.5,0,0,0,1.371,2.417,1.848,1.75,1.75,7.54,5.239,5.172,1.17,2.369,0,0,0,0,0,0,0,0,5.513,65.794,0,-2.275,-3,-3.623,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.798
136.17,6.484,0,4,0,0,19,0,0,2.497,3.472,3.634,2.495,2.951,NA,4.578,8.965,1.647,0,0,0,0,0,170.733,0,0,0,0,170.733,0,-0.325,-4.828,-4.828,0,0,0,4,0,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,12,0,1.729
72.17,4.245,0,2,0,0,0,0,0,0.212,1.7,2.34,1.976,2.703,NA,3.585,5.042,1.72,0,0,17.65,7.604,0,0,25.254,0,0,7.604,0,0,0,0,0,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.85
288.05,16.944,0,2,12,0,0,0,0,4.031,6.015,3.667,1.976,2.703,NA,5.475,2.036,2.085,0,0,0,0,15.519,0,15.519,0,0,0,0,4.53,3.756,-3,-3,-3,-3,-8.481,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.665
94.12,7.24,6,0,0,0,7.7,0,0,2.632,2.524,2.022,0.615,0.615,6.593,5.098,3.792,1.257,0,0,0,0,0,0,0,0,0,0,42.683,0,-2.347,-3.206,-4.789,0,0,0,0,0,0,5,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,2.268
136.16,7.564,7,2,0,0,11.1,0,0,3.169,2.783,1.435,0.556,0.556,9.618,5.152,5.574,1.769,1.313,2.131,0,2.535,0,0,2.535,0,0,6.63,42.683,4.03,-0.366,-2,-2.294,-4.789,0,0,0,1,0,5,2,0,0,1,1,2,2,4,1,0,0,0,0,2,0,3.117
119.13,8.509,8,1,0,7.1,7.1,0,0,2.683,2.685,1.506,0.571,0.571,8.606,5.221,2.967,1.096,2.102,7.485,0,0,0,0,16.786,0,0,2.757,0,3.175,-0.472,-1.828,-2.347,-4.789,0,0,0,0,0,5,0,0,0,0,1,2,2,2,0,0,0,0,0,1,0,2.605
98.91,24.727,1,0,0,0,25,0,0,1.975,4.222,0,0,0,NA,4.803,2.095,0.018,0,0,0,0,0,0,0,0,0,5.764,0,4.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0.041
137.32,34.33,0,0,0,0,0,0,0,0.759,3.352,0,0,0,NA,3.829,0.026,0.382,0,0,0,21.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86
208.22,34.703,0,0,0,0,0,0,0,0.867,3.533,0,0,0,NA,4.934,0.039,0.471,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957
153.32,30.664,1,0,0,0,20,0,0,2.512,4.028,0,0,0,NA,5.134,1.936,0.666,0,0,0,0,0,0,0,8.976,8.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0.041
148.12,9.875,8,0,0,0,20,17.22,0,3.833,2.924,1.606,0.933,0.933,11.638,5.534,2.281,1.278,3.394,0,0,0,0,0,0,0,0,20.754,0,3.859,2.168,-1.284,-1.377,-3.819,-6.144,0,0,0,0,4,0,0,4.354,0,2,4,6,2,0,0,0,0,0,8,0,4.804
147.14,9.196,8,0,0,6.3,12.5,17.22,0,3.928,2.788,1.606,0.125,0,11.638,5.538,2.948,1.318,1.664,0,0,0,0,0,16.786,0,0,11.076,42.683,2.562,2.168,-1.284,-1.377,-3.819,-6.144,0,0,0,0,4,0,0,0,1,2,4,6,2,0,0,0,0,0,6,0,4.804
85.17,5.01,0,0,0,5.9,0,0,0,0.785,1.667,2.056,1.294,1.294,NA,4.006,7.279,1.596,0,0,0,11.815,0,0,29.826,0,0,11.815,18.011,0.8,-2,-4,0,0,0,0,0,3,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.668
162.21,7.373,8,2,0,9.1,4.5,0,0,3.533,2.667,1.293,0.545,0.545,11.644,5.293,6.639,1.744,1.232,1.487,0,65.794,0,0,65.794,12.233,0,10.647,65.794,1.96,2.136,-0.531,-2,-2.347,-4.789,0,0,0,0,6,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0.57
58.09,5.809,1,1,0,0,10,0,0,2.174,3.125,3.132,2.136,0,NA,3.903,3.333,0.908,0,0,8.825,2.535,0,0,11.36,11.424,0,2.535,0,2.555,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.041
74.09,6.735,1,1,0,0,18.2,0,0,2.368,3.633,3.916,1.243,2.634,NA,4.418,4.049,0.895,0,0,8.825,2.535,0,0,11.36,0,0,3.444,42.683,3.925,0,0,0,0,0,0,1,1,3,0,2,0,0,1,1,2,2,0,0,0,0,0,0,2,0,0.018
59.13,4.548,0,1,0,7.7,0,0,0,1.028,2.25,3.132,1.397,2.797,NA,3.422,3.874,1.001,0,0,8.825,37.537,0,0,46.363,0,0,4.64,32.897,0,0,0,0,0,0,0,2,1,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12
42.09,4.677,1,0,0,0,0,0,0,0.361,2.333,0,2.159,0,NA,3.743,2.051,0.852,0,0,8.825,15.767,0,0,8.825,9.476,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.486
76.11,5.855,0,1,0,0,15.4,0,0,2.111,3.367,3.916,1.089,2.643,NA,3.953,5.095,0.963,0,0,8.825,0,0,85.367,8.825,0,0,0,85.367,0,0,0,0,0,0,0,2,1,0,3,0,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0.285
58.09,5.809,0,0,0,0,10,0,0,1.208,2.083,0,1.008,2.336,3.739,3.839,3.805,0.959,0,0,8.825,4.592,0,11,13.418,0,0,4.592,0,1.72,0,0,0,0,0,0,1,1,0,3,0,3,4.708,0,0,1,0,0,0,0,0,0,0,0,0,0.002
68.09,7.566,5,0,0,22.2,0,9.167,0,0.597,2.3,3.125,0,0,NA,4.491,2.82,0.554,0,0,0,0,0,0,25.71,16.663,0,0,16.663,0,-3.236,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.134
54.031,9.005,0,0,0,0,16.7,0,0,0.889,2.315,0,0,0,NA,3.246,2.784,38.904,0,0,10.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4.389,0,0,0,0,0,0,0,0,0,0,0,0,0.663
104.16,6.51,7,1,0,0,0,0,0,0.631,2.083,1.782,0.625,0.625,7.596,5.155,5.033,1.534,0.703,0,0,15.767,0,0,0,9.476,0,3.186,0,0,-1.393,-2.347,-4.096,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8.13
73.16,4.573,0,0,0,6.3,0,0,0,1.354,2.25,0,3.158,0,NA,4.403,5.511,1.352,0,0,26.476,32.897,0,0,59.373,0,0,0,32.897,0,0,0,0,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0.64
165.82,27.637,1,0,0,0,0,0,0,0.883,3.296,3.971,0,0,NA,5.287,4.232,0.076,0,0,0,0,0,0,0,0,0,7.631,0,2.4,-4.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.047
208.37,6.314,0,8,0,0,12.1,0,0,1.923,2.207,2.695,2.758,2.911,NA,4.863,19.031,4.269,0.772,0.236,35.301,18.37,0,0,53.67,0,0,18.37,0,0,1.094,-0.656,-0.656,-1.735,-5.544,0,4,0,0,8,0,12,21.692,0,6,4,0,0,0,0,0,0,0,12,0,0.063
102.04,12.755,0,0,4,0,0,0,0,2.41,5.792,5.184,0,0,NA,4.5,3.035,0.737,0,0,0,8.47,7.76,0,16.229,0,0,8.47,0,4.53,-4.381,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.301
72.12,5.548,0,0,0,0,7.7,9.167,0,1.444,1.9,3.125,1.538,1.538,NA,3.696,6.131,1.305,0,0,0,14.254,0,11,14.254,0,0,14.254,0,1.72,-3.236,0,0,0,0,0,0,2,0,4,0,4,4.944,0,0,2,0,0,0,0,0,0,0,0,0,0.166
92.15,6.143,6,0,0,0,0,0,0,0.083,1.952,2.022,0.85,0.85,6.593,5.094,5.171,1.527,0,0,8.825,0,0,0,8.825,0,0,3.186,0,0,-2.347,-3.206,-4.789,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.802
163.38,20.422,1,0,0,0,25,0,0,2.625,4.036,4.656,2.094,0,NA,5.434,9.11,0.464,0,0,0,0,0,0,0,117.446,0,0.91,42.683,4.565,-3,-6.155,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,18,0,0,0,0.991
117.16,29.29,0,0,0,0,0,0,0,0.694,3.417,0,0,0,NA,4.329,0.789,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86
131.38,21.897,1,0,0,0,0,0,0,0.846,3.2,3.916,0,0,NA,4.992,7.455,0.021,0,0,0,9.791,39.149,0,0,39.149,0,3.816,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.332
119.37,23.874,0,0,0,0,0,0,0,0.694,3.417,0,0,0,NA,4.282,8.292,0.025,0,0,0,0,0,0,0,117.446,0,0,0,2.49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.301
147.43,13.403,0,0,0,0,0,0,0,1.275,2.778,3.135,2.482,0,NA,4.559,13.184,0.825,0,0,0,5.699,0,0,5.699,117.446,0,5.699,0,0,-3.791,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6.781
101.22,4.601,0,3,0,4.5,0,0,0,0.375,1.786,2.933,2.637,3.029,NA,4.11,7.837,1.85,0,0,26.476,6.317,0,0,35.917,0,0,6.317,0,1.2,-3.791,-3.791,0,0,0,0,3,0,0,6,0,9,0,0,0,3,0,0,3,0,0,0,0,0,0,2.519
114.03,14.254,1,0,3,0,25,0,0,2.579,5.702,4.656,2.094,0,NA,4.944,0.971,0.602,0,0,0,0,7.76,0,7.76,0,0,0.91,42.683,5.735,-3,-6.155,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0.134
70.02,14.004,0,0,3,0,0,0,0,1.667,6.333,0,0,0,NA,3.855,1.869,0.284,0,0,0,0,14.05,0,14.05,0,0,0,0,4.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.243
265.47,14.748,9,3,0,0,16.7,0,0,3.852,3.289,1.54,1.585,1.585,NA,5.765,3.978,0.793,1.596,0,0,0,0,0,0,0,0,25.902,0,3.87,2.461,2.461,-1.953,-2,-2,-6,0,0,0,3,0,0,0,0,0,6,6,3,6,0,0,42,0,6,6,3.789
103.93,6.496,0,3,0,0,18.8,0,0,1.104,2.548,2.933,2.627,3.08,NA,4.127,7.504,1.424,0,0,32.649,0,0,0,0,0,0,0,0,0,-3.791,-3.791,0,0,0,0,0,0,0,9,0,0,13.812,0,3,0,0,0,0,0,0,0,0,6,0,1.876
59.13,4.548,0,0,0,7.7,0,0,0,0,2,0,3.333,0,NA,3.814,4.028,0.779,0,0,25.189,0,0,0,3.124,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
86.1,7.175,2,2,0,0,16.7,0,0,2.75,3.194,2.636,0.862,1.459,NA,4.52,4.26,1.021,0,0,8.825,27.301,0,0,8.825,0,0,7.191,0,4.174,-3.851,0,0,0,0,0,1,0,0,2,3,0,4.167,0,1,3,0,0,1,0,0,0,0,1,0,0.229
62.5,10.417,1,0,0,0,0,0,0,0.651,3.037,0,0,0,NA,4.326,2.834,0.493,0,0,0,25.558,39.149,0,0,39.149,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.486
46.05,7.675,1,0,1,0,0,0,0,2.056,4.333,0,0,0,NA,3.791,1.773,0.538,0,0,0,31.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94
106.18,5.899,6,0,0,0,0,0,0,0.12,1.917,2.091,1.528,1.528,7.711,5.276,6.483,1.894,0,0,17.65,0,0,0,17.65,0,0,6.371,0,0,-1.645,-3.451,-3.464,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8.653
